moveNumber,playerState,opponentState,crowdedState
0,1.050000,-0.100000,0.650000
0,1.150000,-0.400000,0.350000
0,0.850000,-0.400000,0.350000
10,1.550000,-0.200000,0.850000
10,0.550000,-0.300000,0.250000
10,0.750000,-0.500000,0.850000
20,0.650000,-0.400000,0.150000
20,0.850000,-0.200000,0.650000
20,1.150000,-0.400000,0.350000
30,1.150000,-0.200000,0.350000
30,1.150000,-0.600000,0.450000
30,0.950000,-0.400000,0.650000
40,1.150000,-0.400000,0.050000
40,1.050000,-0.500000,0.350000
40,0.850000,-0.300000,0.350000
50,1.150000,-0.200000,0.650000
50,0.650000,-0.000000,0.050000
50,1.050000,-0.300000,0.650000
60,1.050000,-0.100000,0.150000
60,1.250000,-0.400000,0.450000
60,0.950000,-0.200000,0.250000
70,1.550000,0.100000,0.450000
70,0.750000,-0.500000,0.450000
70,1.050000,-0.100000,0.450000
80,1.250000,-0.200000,0.650000
80,1.050000,-0.300000,0.550000
80,1.250000,-0.200000,0.750000
90,0.750000,-0.500000,0.250000
90,0.750000,-0.500000,0.250000
90,1.150000,0.100000,0.350000
