minmax,alfabeta
246421196,27764494
601920564,111585371
1135621014,117272671
1833659621,75791284
2590647686,145383227
4654355570,160826632
3790295564,201999779
5179092332,359675422
7232739074,329725759
7300554543,275869256
7871577356,290423031
7639842937,352487845
8222182659,287206394
8950230128,309789266
10084962783,269269004
9126712731,321329317
10494111530,495545449
8147478612,64669177
7230108554,506141162
10435459524,331784615
8271219979,83808279
8407116948,428504958
7797372272,506609394
8937661880,401331190
7375981491,152974742
6409637953,377181691
7240701104,184973702
8881994360,358678790
6568402015,376875420
8332686585,474183226
10701531364,100225140
11526046344,566845353
10114035160,203167667
17274213902,777805721
12588808578,372321042
12108499265,311770934
10498117481,359265271
14029228751,300017543
10530431930,492233019
9048433669,88620748
7255297213,153614918
5484197815,590917794
5762190192,193772586
4624863040,501774161
5643678299,423520750
5339739400,176503424
5454997875,194630079
3622361507,175140010
3962572140,230595185
4096020148,310273379
4518632782,204972567
3412375909,423421107
4419577286,161571970
3394010689,119549443
2782642300,175898418
1917147803,109619903
1862928820,175821312
1483603084,224308568
1871688392,127685942
1940103980,156086953
1190454478,192844386
1511056663,75125339
1421973904,156331339
1144709507,46530924
821098044,100783316
803310628,80093280
469187444,38303066
446080459,27999627
402070928,15687867
284596552,32530259
288496138,64284035
309659226,49461500
369067538,53865192
311929485,28296605
370531730,56361163
297515798,54481932
356888391,76717661
384885524,83052222
368550848,48677945
417366665,57371090
298037650,51858372
249152735,154034960
355422572,49243475
589368116,32770434
373531922,54163689
337700344,101711244
431067891,34510108
392488065,28533576
236615634,49298304
238697753,53245570
245321445,59845859
265581404,52552652
316463189,35715917
288536181,32760095
221453593,59869355
348836460,26851387
310135233,22248993
253376265,30303128
234878881,45385599
222760168,37760640
204447487,37241573
187833506,202863962
252247274,59614286
305404561,52670634
213641005,179396425
327131863,49464357
268787699,81796965
290321781,57041364
215427214,50294730
260783316,87642034
387882900,45144747
305194774,45681882
221903140,46898872
219870642,57281387
207402833,211070165
277010689,40076099
193604532,116457247
219964819,57145977
271197392,78181109
374526245,50299001
255551620,58616479
304066543,66701794
299623927,58691090
278867891,69828042
278047897,40171119
258619482,39719302
195780962,47196337
145734502,195191137
199237221,36695969
207021173,42765014
179453058,24865943
270450478,34839979
226664497,41563517
215326152,47347577
239232780,141062977
213181216,148691255
169777131,158866600
222391024,26173744
199076490,39950476
283763847,35664781
236402508,29793661
196750582,193550151
333436125,55555620
210341108,212236294
339318169,41875975
206669804,67483280
333732383,64010478
280243823,56703458
164078305,44564685
153010815,64751732
271823780,64082061
244663229,57679451
259115073,59325758
235078232,41954725
156136903,65941808
245571383,49088427
278157521,82115111
297129236,62521918
262615069,68496135
267702406,58005184
235990169,139548033
247697839,84852089
373744982,71090827
349306819,65023982
409933964,42027441
321671006,53187435
273826679,186277116
315134116,55162842
431960516,69293353
277090064,52826902
289088313,48751458
275628866,55768499
217893091,46871180
238909214,69375055
331312047,43346024
297482976,29490142
402942542,29477773
282119360,42698073
286393805,56191165
219967731,32778166
372635384,24611749
272621448,40520306
184299634,57652238
146127259,21940067
236980535,12444124
296007290,21495784
212533629,33275142
