minmax, alfabeta
105607, 33622
511270, 118260
1547291, 166630
3217270, 332797
5297494, 436712
8115378, 720777
11258598, 911345
15666647, 1069679
21138310, 1323018
26670320, 1461343
33596505, 1526067
40238250, 1571090
49311206, 1816387
59324486, 2219437
67529404, 2349087
74114478, 2374521
83191099, 2395136
90881379, 2577208
99751621, 2932199
110163448, 3531934
119216217, 3635360
128650234, 4088134
138535126, 4613436
150940407, 4830513
168216809, 5168090
180967842, 5360469
196344406, 5490460
208944646, 6098371
225794855, 6292161
240811775, 6946968
249207369, 7357169
256616006, 7525016
264356409, 8149966
274781344, 8426590
282383963, 9187945
290037840, 9586159
297707045, 10064553
304133144, 10469192
311491460, 10729559
320830361, 11039296
329960765, 11278499
339543560, 11677265
346977326, 12176663
354648347, 12737379
360978671, 13068471
366501113, 13297385
372507180, 13824613
378361243, 14100761
384466455, 14290190
388388302, 14426177
392114402, 14636175
395918747, 14951857
399529248, 15113127
401900377, 15270563
404188391, 15350695
406618672, 15373829
409298826, 15983637
411757295, 16110229
413510406, 16250768
414813473, 16356276
416034850, 16483442
417249103, 16643843
418294840, 16717124
419250317, 16785944
420031087, 16809721
420704729, 16898097
421395701, 16947360
422075944, 17022850
422639910, 17077906
423241186, 17177716
423827529, 17257156
424381123, 17294982
424957982, 17357472
425422075, 17402129
426005767, 17476033
426490751, 17504679
427010282, 17545031
427179991, 17577073
427358814, 17604110
427569885, 17638794
427759094, 17662973
427948321, 17683684
428139520, 17727030
428382204, 17741491
428611086, 17741491
428877535, 17741491
429106465, 17741491
429433253, 17741491
429694355, 17741491
429958520, 17741491
430276730, 17741491
430693227, 17741491
431108278, 17741491
431467963, 17741491
431704743, 17741491
432054000, 17741491
432334799, 17741491
432614942, 17741491
432863087, 17741491
433119958, 17741491
433429804, 17741491
433654830, 17741491
433992756, 17741491
434351607, 17741491
434754553, 17741491
434995498, 17741491
